hunt_code,land_type,residency,point_level,applicants,permits_awarded,success_ratio_text
DA1001,public,Nonresident,19,0,0,N/A
DA1001,public,Nonresident,18,0,0,N/A
DA1001,public,Nonresident,17,0,0,N/A
DA1001,public,Nonresident,16,0,0,N/A
DA1001,public,Nonresident,15,0,0,N/A
DA1001,public,Nonresident,14,0,0,N/A
DA1001,public,Nonresident,13,0,0,N/A
DA1001,public,Nonresident,12,0,0,N/A
DA1001,public,Nonresident,11,0,0,N/A
DA1001,public,Nonresident,10,0,0,N/A
DA1001,public,Nonresident,9,0,0,N/A
DA1001,public,Nonresident,8,0,0,N/A
DA1001,public,Nonresident,7,0,0,N/A
DA1001,public,Nonresident,6,0,0,N/A
DA1001,public,Nonresident,5,0,0,N/A
DA1001,public,Nonresident,4,0,0,N/A
DA1001,public,Nonresident,3,0,0,N/A
DA1001,public,Nonresident,2,0,0,N/A
DA1001,public,Nonresident,1,0,0,N/A
DA1001,public,Nonresident,0,0,0,N/A
DA1001,public,Resident,19,0,0,N/A
DA1001,public,Resident,18,0,0,N/A
DA1001,public,Resident,17,0,0,N/A
DA1001,public,Resident,16,0,0,N/A
DA1001,public,Resident,15,0,0,N/A
DA1001,public,Resident,14,0,0,N/A
DA1001,public,Resident,13,0,0,N/A
DA1001,public,Resident,12,0,0,N/A
DA1001,public,Resident,11,0,0,N/A
DA1001,public,Resident,10,0,0,N/A
DA1001,public,Resident,9,0,0,N/A
DA1001,public,Resident,8,0,0,N/A
DA1001,public,Resident,7,0,0,N/A
DA1001,public,Resident,6,0,0,N/A
DA1001,public,Resident,5,1,1,1 in 1.0
DA1001,public,Resident,4,2,2,1 in 1.0
DA1001,public,Resident,3,9,9,1 in 1.0
DA1001,public,Resident,2,9,9,1 in 1.0
DA1001,public,Resident,1,17,3,1 in 5.7
DA1001,public,Resident,0,30,0,N/A
DA1002,public,Nonresident,19,0,0,N/A
DA1002,public,Nonresident,18,0,0,N/A
DA1002,public,Nonresident,17,0,0,N/A
DA1002,public,Nonresident,16,0,0,N/A
DA1002,public,Nonresident,15,0,0,N/A
DA1002,public,Nonresident,14,0,0,N/A
DA1002,public,Nonresident,13,0,0,N/A
DA1002,public,Nonresident,12,0,0,N/A
DA1002,public,Nonresident,11,0,0,N/A
DA1002,public,Nonresident,10,0,0,N/A
DA1002,public,Nonresident,9,0,0,N/A
DA1002,public,Nonresident,8,0,0,N/A
DA1002,public,Nonresident,7,0,0,N/A
DA1002,public,Nonresident,6,0,0,N/A
DA1002,public,Nonresident,5,0,0,N/A
DA1002,public,Nonresident,4,0,0,N/A
DA1002,public,Nonresident,3,0,0,N/A
DA1002,public,Nonresident,2,0,0,N/A
DA1002,public,Nonresident,1,0,0,N/A
DA1002,public,Nonresident,0,0,0,N/A
DA1002,public,Resident,19,0,0,N/A
DA1002,public,Resident,18,0,0,N/A
DA1002,public,Resident,17,0,0,N/A
DA1002,public,Resident,16,0,0,N/A
DA1002,public,Resident,15,0,0,N/A
DA1002,public,Resident,14,0,0,N/A
DA1002,public,Resident,13,0,0,N/A
DA1002,public,Resident,12,0,0,N/A
DA1002,public,Resident,11,0,0,N/A
DA1002,public,Resident,10,0,0,N/A
DA1002,public,Resident,9,0,0,N/A
DA1002,public,Resident,8,0,0,N/A
DA1002,public,Resident,7,0,0,N/A
DA1002,public,Resident,6,1,1,1 in 1.0
DA1002,public,Resident,5,1,1,1 in 1.0
DA1002,public,Resident,4,0,0,N/A
DA1002,public,Resident,3,15,15,1 in 1.0
DA1002,public,Resident,2,21,7,1 in 3.0
DA1002,public,Resident,1,22,0,N/A
DA1002,public,Resident,0,42,0,N/A
DA1003,public,Nonresident,19,0,0,N/A
DA1003,public,Nonresident,18,0,0,N/A
DA1003,public,Nonresident,17,0,0,N/A
DA1003,public,Nonresident,16,0,0,N/A
DA1003,public,Nonresident,15,0,0,N/A
DA1003,public,Nonresident,14,0,0,N/A
DA1003,public,Nonresident,13,0,0,N/A
DA1003,public,Nonresident,12,0,0,N/A
DA1003,public,Nonresident,11,0,0,N/A
DA1003,public,Nonresident,10,0,0,N/A
DA1003,public,Nonresident,9,0,0,N/A
DA1003,public,Nonresident,8,0,0,N/A
DA1003,public,Nonresident,7,0,0,N/A
DA1003,public,Nonresident,6,0,0,N/A
DA1003,public,Nonresident,5,2,1,1 in 2.0
DA1003,public,Nonresident,4,0,0,N/A
DA1003,public,Nonresident,3,1,0,N/A
DA1003,public,Nonresident,2,1,0,N/A
DA1003,public,Nonresident,1,3,0,N/A
DA1003,public,Nonresident,0,0,0,N/A
DA1003,public,Resident,19,0,0,N/A
DA1003,public,Resident,18,0,0,N/A
DA1003,public,Resident,17,0,0,N/A
DA1003,public,Resident,16,0,0,N/A
DA1003,public,Resident,15,0,0,N/A
DA1003,public,Resident,14,0,0,N/A
DA1003,public,Resident,13,0,0,N/A
DA1003,public,Resident,12,0,0,N/A
DA1003,public,Resident,11,0,0,N/A
DA1003,public,Resident,10,0,0,N/A
DA1003,public,Resident,9,0,0,N/A
DA1003,public,Resident,8,1,1,1 in 1.0
DA1003,public,Resident,7,1,1,1 in 1.0
DA1003,public,Resident,6,8,8,1 in 1.0
DA1003,public,Resident,5,25,1,1 in 25.0
DA1003,public,Resident,4,41,0,N/A
DA1003,public,Resident,3,28,0,N/A
DA1003,public,Resident,2,44,0,N/A
DA1003,public,Resident,1,46,0,N/A
DA1003,public,Resident,0,54,0,N/A
DA1009,public,Nonresident,19,0,0,N/A
DA1009,public,Nonresident,18,0,0,N/A
DA1009,public,Nonresident,17,0,0,N/A
DA1009,public,Nonresident,16,0,0,N/A
DA1009,public,Nonresident,15,0,0,N/A
DA1009,public,Nonresident,14,0,0,N/A
DA1009,public,Nonresident,13,0,0,N/A
DA1009,public,Nonresident,12,0,0,N/A
DA1009,public,Nonresident,11,0,0,N/A
DA1009,public,Nonresident,10,0,0,N/A
DA1009,public,Nonresident,9,0,0,N/A
DA1009,public,Nonresident,8,0,0,N/A
DA1009,public,Nonresident,7,4,0,N/A
DA1009,public,Nonresident,6,16,0,N/A
DA1009,public,Nonresident,5,21,0,N/A
DA1009,public,Nonresident,4,10,0,N/A
DA1009,public,Nonresident,3,24,0,N/A
DA1009,public,Nonresident,2,13,0,N/A
DA1009,public,Nonresident,1,20,0,N/A
DA1009,public,Nonresident,0,28,0,N/A
DA1009,public,Resident,19,0,0,N/A
DA1009,public,Resident,18,0,0,N/A
DA1009,public,Resident,17,0,0,N/A
DA1009,public,Resident,16,0,0,N/A
DA1009,public,Resident,15,0,0,N/A
DA1009,public,Resident,14,0,0,N/A
DA1009,public,Resident,13,0,0,N/A
DA1009,public,Resident,12,0,0,N/A
DA1009,public,Resident,11,0,0,N/A
DA1009,public,Resident,10,2,2,1 in 1.0
DA1009,public,Resident,9,0,0,N/A
DA1009,public,Resident,8,3,3,1 in 1.0
DA1009,public,Resident,7,50,15,1 in 3.3
DA1009,public,Resident,6,97,0,N/A
DA1009,public,Resident,5,137,0,N/A
DA1009,public,Resident,4,152,0,N/A
DA1009,public,Resident,3,172,0,N/A
DA1009,public,Resident,2,212,0,N/A
DA1009,public,Resident,1,246,0,N/A
DA1009,public,Resident,0,367,0,N/A
DA1011,cwmu,Nonresident,19,0,0,N/A
DA1011,cwmu,Nonresident,18,0,0,N/A
DA1011,cwmu,Nonresident,17,0,0,N/A
DA1011,cwmu,Nonresident,16,0,0,N/A
DA1011,cwmu,Nonresident,15,0,0,N/A
DA1011,cwmu,Nonresident,14,0,0,N/A
DA1011,cwmu,Nonresident,13,0,0,N/A
DA1011,cwmu,Nonresident,12,0,0,N/A
DA1011,cwmu,Nonresident,11,0,0,N/A
DA1011,cwmu,Nonresident,10,0,0,N/A
DA1011,cwmu,Nonresident,9,0,0,N/A
DA1011,cwmu,Nonresident,8,0,0,N/A
DA1011,cwmu,Nonresident,7,0,0,N/A
DA1011,cwmu,Nonresident,6,0,0,N/A
DA1011,cwmu,Nonresident,5,0,0,N/A
DA1011,cwmu,Nonresident,4,0,0,N/A
DA1011,cwmu,Nonresident,3,0,0,N/A
DA1011,cwmu,Nonresident,2,0,0,N/A
DA1011,cwmu,Nonresident,1,0,0,N/A
DA1011,cwmu,Nonresident,0,0,0,N/A
DA1011,cwmu,Resident,19,0,0,N/A
DA1011,cwmu,Resident,18,0,0,N/A
DA1011,cwmu,Resident,17,0,0,N/A
DA1011,cwmu,Resident,16,0,0,N/A
DA1011,cwmu,Resident,15,0,0,N/A
DA1011,cwmu,Resident,14,0,0,N/A
DA1011,cwmu,Resident,13,0,0,N/A
DA1011,cwmu,Resident,12,0,0,N/A
DA1011,cwmu,Resident,11,0,0,N/A
DA1011,cwmu,Resident,10,0,0,N/A
DA1011,cwmu,Resident,9,1,1,1 in 1.0
DA1011,cwmu,Resident,8,0,0,N/A
DA1011,cwmu,Resident,7,7,3,1 in 2.3
DA1011,cwmu,Resident,6,8,0,N/A
DA1011,cwmu,Resident,5,10,0,N/A
DA1011,cwmu,Resident,4,11,0,N/A
DA1011,cwmu,Resident,3,18,0,N/A
DA1011,cwmu,Resident,2,15,0,N/A
DA1011,cwmu,Resident,1,20,0,N/A
DA1011,cwmu,Resident,0,26,0,N/A
DA1012,cwmu,Nonresident,19,0,0,N/A
DA1012,cwmu,Nonresident,18,0,0,N/A
DA1012,cwmu,Nonresident,17,0,0,N/A
DA1012,cwmu,Nonresident,16,0,0,N/A
DA1012,cwmu,Nonresident,15,0,0,N/A
DA1012,cwmu,Nonresident,14,0,0,N/A
DA1012,cwmu,Nonresident,13,0,0,N/A
DA1012,cwmu,Nonresident,12,0,0,N/A
DA1012,cwmu,Nonresident,11,0,0,N/A
DA1012,cwmu,Nonresident,10,0,0,N/A
DA1012,cwmu,Nonresident,9,0,0,N/A
DA1012,cwmu,Nonresident,8,0,0,N/A
DA1012,cwmu,Nonresident,7,0,0,N/A
DA1012,cwmu,Nonresident,6,0,0,N/A
DA1012,cwmu,Nonresident,5,0,0,N/A
DA1012,cwmu,Nonresident,4,0,0,N/A
DA1012,cwmu,Nonresident,3,0,0,N/A
DA1012,cwmu,Nonresident,2,0,0,N/A
DA1012,cwmu,Nonresident,1,0,0,N/A
DA1012,cwmu,Nonresident,0,0,0,N/A
DA1012,cwmu,Resident,19,0,0,N/A
DA1012,cwmu,Resident,18,0,0,N/A
DA1012,cwmu,Resident,17,0,0,N/A
DA1012,cwmu,Resident,16,0,0,N/A
DA1012,cwmu,Resident,15,0,0,N/A
DA1012,cwmu,Resident,14,0,0,N/A
DA1012,cwmu,Resident,13,1,1,1 in 1.0
DA1012,cwmu,Resident,12,0,0,N/A
DA1012,cwmu,Resident,11,0,0,N/A
DA1012,cwmu,Resident,10,7,7,1 in 1.0
DA1012,cwmu,Resident,9,8,4,1 in 2.0
DA1012,cwmu,Resident,8,14,0,N/A
DA1012,cwmu,Resident,7,39,0,N/A
DA1012,cwmu,Resident,6,56,0,N/A
DA1012,cwmu,Resident,5,56,0,N/A
DA1012,cwmu,Resident,4,74,0,N/A
DA1012,cwmu,Resident,3,85,0,N/A
DA1012,cwmu,Resident,2,76,0,N/A
DA1012,cwmu,Resident,1,57,0,N/A
DA1012,cwmu,Resident,0,83,0,N/A
DA1013,cwmu,Nonresident,19,0,0,N/A
DA1013,cwmu,Nonresident,18,0,0,N/A
DA1013,cwmu,Nonresident,17,0,0,N/A
DA1013,cwmu,Nonresident,16,0,0,N/A
DA1013,cwmu,Nonresident,15,0,0,N/A
DA1013,cwmu,Nonresident,14,0,0,N/A
DA1013,cwmu,Nonresident,13,0,0,N/A
DA1013,cwmu,Nonresident,12,0,0,N/A
DA1013,cwmu,Nonresident,11,0,0,N/A
DA1013,cwmu,Nonresident,10,0,0,N/A
