hunt_code,residency,points,odds_2025_actual,odds_2026_projected,max_pool_projection_2026,random_draw_projection_2026,guaranteed_marker,user_point_marker
BI6500,Nonresident,32,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,31,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,30,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,29,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,28,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,27,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,26,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,25,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,24,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,23,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,22,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,21,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,20,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,19,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,18,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,17,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,16,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,15,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,14,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,13,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,12,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,11,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,10,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,9,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,8,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,7,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,6,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,5,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,4,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,3,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,2,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,1,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Nonresident,0,N/A,0.000,0.000,0.000,FALSE,FALSE
BI6500,Resident,32,N/A,100.000,100.000,,FALSE,FALSE
BI6500,Resident,31,N/A,50.075,100.000,,TRUE,FALSE
BI6500,Resident,30,1 in 2.0,0.102,0.000,,FALSE,FALSE
BI6500,Resident,29,N/A,0.110,0.000,0.110,FALSE,FALSE
BI6500,Resident,28,N/A,0.110,0.000,0.110,FALSE,FALSE
BI6500,Resident,27,N/A,0.122,0.000,0.122,FALSE,FALSE
BI6500,Resident,26,N/A,0.108,0.000,0.108,FALSE,FALSE
BI6500,Resident,25,N/A,0.100,0.000,0.100,FALSE,FALSE
BI6500,Resident,24,N/A,0.078,0.000,0.078,FALSE,FALSE
BI6500,Resident,23,N/A,0.090,0.000,0.090,FALSE,FALSE
